time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1999-08-17T03:23:14.620Z,40.755,30.3,10,4.2,mb,,,,1,us,usp0009d5x,2014-11-07T01:08:17.030Z,"7 km NNE of Sapanca, Turkey",earthquake,,,,23,reviewed,us,us
1999-08-17T03:43:05.510Z,40.727,30.389,10,4.1,mb,,,,0.94,us,usp0009d5y,2014-11-07T01:08:17.034Z,"6 km SSW of Adapazar?, Turkey",earthquake,,,,24,reviewed,us,us
1999-08-17T04:14:22.950Z,40.694,29.194,10,4.2,mb,,,,1.36,us,usp0009d61,2014-11-07T01:08:17.044Z,"5 km NNE of Koruköy, Turkey",earthquake,,,,21,reviewed,us,us
1999-08-17T04:39:58.130Z,40.739,30.408,10,4.1,mb,,,,0.99,us,usp0009d68,2014-11-07T01:08:17.074Z,"4 km S of Adapazar?, Turkey",earthquake,,,,25,reviewed,us,us
1999-08-17T05:10:08.440Z,40.845,30.347,10,4.6,mb,,,,1.05,us,usp0009d6b,2014-11-07T01:08:17.089Z,"8 km NNW of Adapazar?, Turkey",earthquake,,,,60,reviewed,us,us
1999-08-17T05:45:22.410Z,40.739,30.203,10,4.1,mb,,,,1.36,us,usp0009d6c,2014-11-07T01:08:17.099Z,"7 km NW of Sapanca, Turkey",earthquake,,,,12,reviewed,us,us
1999-08-17T05:54:47.040Z,40.957,28.482,10,3.9,mb,,,,1.38,us,usp0009d6e,2014-11-07T01:08:17.105Z,"7 km S of Kumburgaz, Turkey",earthquake,,,,2,reviewed,us,us
1999-08-17T06:01:32.550Z,40.736,29.964,10,4,mb,,,,0.96,us,usp0009d6g,2014-11-07T01:08:17.108Z,"2 km WNW of Kullar, Turkey",earthquake,,,,13,reviewed,us,us
1999-08-17T09:31:56.560Z,40.902,30.261,10,4.1,mb,,,,1.52,us,usp0009d6y,2014-11-07T01:08:17.153Z,"14 km SSW of Kaynarca, Turkey",earthquake,,,,10,reviewed,us,us
1999-08-17T10:46:41.310Z,40.711,29.942,10,4.5,mb,,,,0.68,us,usp0009d72,2014-11-07T01:08:17.167Z,"1 km N of Kar??yaka, Turkey",earthquake,,,,1,reviewed,us,us
1999-08-17T13:10:23.290Z,40.642,29.965,10,3.9,mb,,,,0.72,us,usp0009d77,2014-11-07T01:08:17.189Z,"5 km S of Yuvac?k, Turkey",earthquake,,,,1,reviewed,us,us
1999-08-17T14:35:08.330Z,40.98,30.345,10,3.7,mb,,,,1.5,us,usp0009d7d,2014-11-07T01:08:17.203Z,"6 km SSE of Kaynarca, Turkey",earthquake,,,,2,reviewed,us,us
1999-08-17T17:09:13.290Z,40.687,30.425,10,3.8,mb,,,,1.01,us,usp0009d7u,2014-11-07T01:08:17.259Z,"10 km S of Adapazar?, Turkey",earthquake,,,,2,reviewed,us,us
1999-08-17T18:35:24.140Z,40.597,29.086,10,4,md,,,,1.04,us,usp0009d7x,2014-11-07T01:08:17.264Z,"5 km SE of Kocadere, Turkey",earthquake,,,,,reviewed,us,isk
1999-08-17T20:30:40.930Z,40.721,29.287,19.4,3.8,mb,,,,,us,usp0009d82,2014-11-07T01:08:17.277Z,"7 km N of Yalova, Turkey",earthquake,,,,9,reviewed,isk,us
1999-08-17T21:47:38.840Z,40.763,30.079,10,4.1,mb,,,,1.18,us,usp0009d88,2014-11-07T01:08:17.294Z,"6 km ENE of Köseköy, Turkey",earthquake,,,,2,reviewed,us,us
1999-08-19T14:15:58.840Z,40.608,29.2,10,4.5,mb,,,,1.35,us,usp0009dav,2014-11-07T01:08:17.608Z,"2 km WSW of Kad?köy, Turkey",earthquake,,,,39,reviewed,us,us
1999-08-19T15:17:45.040Z,40.618,29.138,10,5.2,mwc,,,,1.19,us,usp0009daz,2022-04-29T17:49:28.173Z,"3 km SSE of Ç?narc?k, Turkey",earthquake,,,,,reviewed,us,hrv
1999-08-19T15:26:22.260Z,40.652,29.152,10,3.8,mb,,,,1.03,us,usp0009db0,2014-11-07T01:08:17.645Z,"0 km WSW of Koruköy, Turkey",earthquake,,,,5,reviewed,us,us
1999-08-20T00:03:01.960Z,40.72,29.994,10,4.1,mb,,,,1.19,us,usp0009dbt,2014-11-07T01:08:17.932Z,"0 km SE of Kullar, Turkey",earthquake,,,,13,reviewed,us,us
1999-08-20T09:48:36.740Z,40.694,29.708,10,4,mb,,,,1.49,us,usp0009dcd,2014-11-07T01:08:18.193Z,"1 km SE of Ula?l?, Turkey",earthquake,,,,2,reviewed,us,us
1999-08-20T20:12:42.130Z,40.599,29.159,10,3.9,mb,,,,1.09,us,usp0009ddj,2014-11-07T01:08:18.350Z,"5 km SSE of Ç?narc?k, Turkey",earthquake,,,,9,reviewed,us,us
1999-08-21T10:01:27.580Z,40.658,29.293,10,3.8,mb,,,,1.27,us,usp0009dej,2014-11-07T01:08:18.805Z,"1 km ENE of Yalova, Turkey",earthquake,,,,7,reviewed,us,us
1999-08-23T21:54:51.570Z,40.615,29.162,10,4.1,mb,,,,1.07,us,usp0009dj1,2014-11-07T01:08:19.563Z,"4 km S of Koruköy, Turkey",earthquake,,,,5,reviewed,us,us
